Data;Tempo (us);Tempo (ms);Temperatura (°C)
22/12/2022 10:04:17;347615076;347615;23,0
22/12/2022 10:04:17;348115094;348115;23,0
22/12/2022 10:04:18;348615173;348615;23,0
22/12/2022 10:04:18;349115245;349115;23,0
22/12/2022 10:04:19;349615286;349615;23,0
22/12/2022 10:04:19;350115390;350115;23,0
22/12/2022 10:04:20;350615436;350615;23,0
22/12/2022 10:04:20;351115468;351115;23,0
22/12/2022 10:04:21;351615501;351615;23,0
22/12/2022 10:04:21;352115604;352115;23,0
22/12/2022 10:04:22;352615645;352615;23,0
22/12/2022 10:04:22;353115748;353115;23,0
22/12/2022 10:04:23;353615813;353615;23,0
22/12/2022 10:04:23;354115847;354115;23,0
22/12/2022 10:04:24;354615945;354615;23,0
22/12/2022 10:04:24;355115950;355115;23,0
22/12/2022 10:04:25;355616052;355616;23,0
22/12/2022 10:04:25;356116083;356116;23,0
22/12/2022 10:04:26;356616146;356616;23,0
22/12/2022 10:04:26;357116234;357116;23,0
22/12/2022 10:04:27;357616323;357616;23,0
22/12/2022 10:04:27;358116377;358116;23,0
22/12/2022 10:04:28;358616449;358616;23,0
22/12/2022 10:04:28;359116537;359116;23,0
22/12/2022 10:04:29;359616555;359616;23,0
22/12/2022 10:04:29;360116596;360116;23,0
22/12/2022 10:04:30;360616679;360616;23,0
22/12/2022 10:04:30;361116760;361116;23,0
22/12/2022 10:04:31;361616768;361616;23,0
22/12/2022 10:04:31;362116864;362116;23,0
22/12/2022 10:04:32;362616953;362616;23,0
22/12/2022 10:04:32;363116957;363116;23,0
22/12/2022 10:04:33;363617056;363617;23,0
22/12/2022 10:04:33;364117069;364117;23,0
22/12/2022 10:04:34;364617161;364617;23,0
22/12/2022 10:04:34;365117193;365117;23,0
22/12/2022 10:04:35;365617256;365617;23,0
22/12/2022 10:04:35;366117274;366117;23,0
22/12/2022 10:04:36;366617337;366617;23,0
22/12/2022 10:04:36;367117352;367117;23,0
22/12/2022 10:04:37;367617413;367617;23,0
22/12/2022 10:04:37;368117422;368117;23,0
22/12/2022 10:04:38;368617442;368617;23,0
22/12/2022 10:04:38;369117501;369117;23,0
22/12/2022 10:04:39;369617532;369617;23,0
22/12/2022 10:04:39;370117577;370117;23,0
22/12/2022 10:04:40;370617624;370617;23,0
22/12/2022 10:04:40;371117718;371117;23,0
22/12/2022 10:04:41;371617766;371617;23,0
22/12/2022 10:04:41;372117847;372117;23,0
22/12/2022 10:04:42;372617881;372617;23,0
22/12/2022 10:04:42;373117901;373117;23,0
22/12/2022 10:04:43;373618005;373618;23,0
22/12/2022 10:04:43;374118082;374118;23,0
22/12/2022 10:04:44;374618122;374618;23,0
22/12/2022 10:04:44;375118128;375118;23,0
